	L1_col_3	L1_vitro_1	L1_vitro_2	L1_col_1	L1_col_2	L1_vitro_3
cds1544	2	69	51	33	18	99
cds1545	17	797	777	0	6	1389
cds1546	123	5511	5277	175	121	7256
cds1547	24	3514	3973	146	121	4842
cds1548	120	9243	9968	353	218	11881
cds1549	72	5089	5339	176	106	7164
cds155	1	2	6	0	12	1
cds1550	96	7762	8754	246	208	11550
cds1551	24	91	135	15	17	205
cds1552	0	135	79	9	9	208
cds1553	11	464	455	37	33	608
cds1554	75	2282	2195	125	106	3401
cds1555	1	1274	1435	71	60	2053
cds1556	8	652	643	26	10	999
cds1557	39	2207	1993	90	65	3300
cds1558	0	437	375	0	0	653
cds1559	29	2020	1903	54	22	2905
cds156	14	6	5	33	12	0
cds1560	34	2415	2359	81	65	3808
cds1561	13	2734	2541	17	48	3822
cds1562	3	794	796	9	2	1126
cds1563	1	566	582	35	7	973
cds1564	21	724	633	48	12	890
cds1565	9	720	663	6	0	1031
cds1566	7	1068	940	49	44	1655
cds1567	47	3554	3740	92	38	5926
cds1568	49	1386	1558	57	37	2239
cds1569	1	583	577	21	8	976
cds157	24	6	5	22	2	14
cds1570	28	2936	2693	75	0	4629
cds1571	8	902	989	18	26	1239
cds1572	20	3549	3608	59	57	5291
cds1573	96	6657	6565	137	235	9262
cds1574	8	3039	3187	93	65	4371
cds1575	0	17	23	3	0	21
cds1576	2412	41938	50238	4709	3587	54705
cds1577	88	7697	7646	187	109	12111
cds1578	25	2922	3129	67	42	4309
cds1579	22	2353	2401	33	27	3307
cds158	15	24	22	9	20	23
cds1580	53	189	206	84	72	328
cds1581	3	25	15	8	0	36
cds1582	3	107	128	35	0	183
cds1583	7	99	129	0	0	206
cds1584	2	129	139	7	0	221
cds1585	69	721	807	42	67	1184
cds1586	9	87	126	23	11	189
cds1587	25	304	358	48	65	470
cds1588	31	246	197	82	27	322
cds1589	11	14	22	0	6	20
cds159	6	13	29	25	7	96
cds1590	0	16	9	0	0	21
cds1591	8	34	44	42	5	66
cds1592	1	35	27	13	0	38
cds1593	14	20	36	7	16	58
cds1594	585	1712	1565	656	554	1906
cds1595	35	471	430	16	69	712
cds1596	2	37	21	1	0	39
cds1597	7	21	17	14	0	50
cds1598	12	225	213	99	72	322
cds1599	31	110	91	19	0	145
cds16	16	19	20	27	56	34
cds160	4	14	20	12	6	34
cds1600	22	75	91	4	2	151
cds1601	4	19	23	5	4	22
cds1602	44	319	304	43	53	589
cds1603	4	10	3	9	0	11
cds1604	0	50	59	14	0	92
cds1605	98	2689	2328	141	102	3820
cds1606	181	6819	6593	432	354	10461
cds1607	5	11	7	0	2	15
cds1608	0	8	7	0	0	2
cds1609	2	3	4	0	3	11
cds161	1	16	46	26	20	28
cds1610	18	218	138	28	18	261
cds1611	21	10	20	10	6	6
cds1612	18	77	101	54	35	139
cds1613	2	8	7	17	3	17
cds1614	0	24	25	14	10	36
cds1615	9	12	21	17	11	22
cds1616	15	11	22	50	8	51
cds1617	20	122	117	10	14	242
cds1618	2	31	40	0	0	36
cds1619	13	112	164	67	8	263
cds162	3	20	21	16	0	36
cds1620	0	96	20	7	0	26
cds1621	3	153	37	6	6	41
cds1622	19	295	66	22	26	127
cds1623	10	234	65	1	13	64
cds1624	16	26	3	0	0	7
cds1625	4	174	25	13	6	19
cds1626	28	64	49	2	36	58
cds1627	0	24	5	7	6	20
cds1628	0	59	7	0	0	20
cds1629	4	101	11	0	20	26
cds163	0	19	6	0	3	10
cds1630	0	80	5	0	0	7
cds1631	1	25	3	0	0	0
cds1632	0	47	7	0	0	7
cds1633	4	247	57	18	16	47
cds1634	4	120	21	12	0	16
cds1635	32	293	236	14	4	381
cds1636	96	273	373	99	119	513
cds1637	5	37	21	44	42	29
cds1638	39	111	141	127	98	265
cds1639	19	21	28	52	4	57
cds164	0	33	6	12	0	18
cds1640	0	17	21	0	0	18
cds1641	22	127	146	38	0	223
cds1642	4	11	7	32	30	6
cds1643	1	126	115	20	0	141
cds1644	7	111	69	14	2	143
cds1645	0	36	30	3	12	60
cds1646	0	0	0	0	0	3
cds1647	10	1	5	0	0	1
cds1648	0	4	4	0	0	5
cds1649	0	0	0	0	0	0
cds165	0	8	14	3	10	17
cds1650	0	1	7	0	0	8
cds1651	0	0	2	0	5	1
cds1652	0	4	0	11	0	1
cds1653	9	9	9	25	15	41
cds1654	3	28	24	49	19	30
cds1655	14	55	58	14	7	89
cds1656	23	125	113	19	12	206
cds1657	13	507	626	41	28	898
cds1658	3	6	22	0	0	22
cds1659	8	39	36	0	25	67
cds166	8	15	12	0	0	11
cds1660	0	33	27	0	0	42
cds1661	12	79	89	15	84	125
cds1662	8	43	34	0	0	38
cds1663	14	35	41	36	5	47
