	R935_vitro_1	R935_vitro_2	R935_col_1	R935_col_2	R935_vitro_3	R935_col_3
cds1522	0	0	22	13	0	57
cds1523	19	15	40	59	70	110
cds1524	4	4	0	59	11	74
cds1525	139	154	1008	580	331	1424
cds1526	0	1	356	445	5	1504
cds1527	0	0	0	16	0	29
cds1528	0	0	27	6	0	15
cds1529	12	20	55	24	25	113
cds153	6	1	13	1	6	9
cds1530	6	1	83	65	16	96
cds1531	13	4	30	46	33	189
cds1532	13	14	34	22	38	52
cds1533	44	57	376	51	193	643
cds1534	8	13	87	85	16	96
cds1535	0	0	42	68	2	74
cds1536	2	0	6	12	0	74
cds1537	2	5	24	3	8	32
cds1538	5	16	16	2	14	32
cds1539	1	1	0	2	3	6
cds154	0	3	25	10	9	28
cds1540	2	7	38	39	16	35
cds1541	2	2	8	25	5	146
cds1542	0	0	23	0	3	0
cds1543	0	0	0	10	0	17
cds1544	1	1	62	82	5	123
cds1545	0	3	42	13	0	8
cds1546	2	0	21	3	3	13
cds1547	0	0	19	0	0	11
cds1548	1	0	0	1	0	12
cds1549	2	0	0	14	1	5
cds155	3	5	0	11	15	0
cds1550	1	4	45	19	2	33
cds1551	0	0	0	0	0	11
cds1552	0	0	33	7	1	39
cds1553	0	0	44	0	0	3
cds1554	0	0	45	0	0	18
cds1555	3	3	34	46	12	120
cds1556	7	8	197	83	12	101
cds1557	1	0	101	37	3	50
cds1558	35	48	516	365	111	839
cds1559	7	6	44	38	18	81
cds156	12	9	52	14	35	79
cds1560	12	14	69	44	32	108
cds1561	4	1	19	0	2	13
cds1562	2	4	30	2	2	29
cds1563	0	0	49	2	0	9
cds1564	5	4	52	31	7	78
cds1565	1	0	0	1	1	30
cds1566	0	0	0	17	1	24
cds1567	4	2	24	7	5	37
cds1568	2	2	53	0	6	44
cds1569	1	2	0	0	4	22
cds157	73	67	308	161	137	383
cds1570	1	0	0	14	1	38
cds1571	0	0	28	29	1	50
cds1572	0	0	0	0	0	5
cds1573	0	0	0	3	0	7
cds1574	89	83	4123	4143	188	6148
cds1575	0	0	0	2	0	42
cds1576	0	0	27	0	0	20
cds1577	0	1	31	0	0	8
cds1578	0	2	9	0	3	9
cds1579	0	8	76	13	6	81
cds158	76	69	40	31	121	71
cds1580	1	0	39	26	0	86
cds1581	0	0	23	6	0	26
cds1582	0	0	0	0	0	0
cds1583	0	2	26	3	8	42
cds1584	0	0	0	0	0	0
cds1585	1	0	0	1	0	38
cds1586	0	0	0	0	0	4
cds1587	245	217	2432	1394	362	3045
cds1588	50	63	94	62	105	283
cds1589	2	2	0	20	10	45
