	L176_col_1	L176_vitro_1	L176_vitro_2	L176_vitro_3	L176_col_2	L176_col_3
cds1431	2	11	0	1	0	11
cds1432	13	28	6	8	15	17
cds1433	1	0	0	2	0	4
cds1434	11	6	0	4	4	0
cds1435	0	0	0	0	0	1
cds1436	12	54	2	6	26	30
cds1437	24	74	12	11	18	26
cds1438	48	378	195	107	62	57
cds1439	12	95	34	37	19	60
cds144	26	134	51	26	24	16
cds1440	37	125	88	48	28	65
cds1441	131	318	93	59	161	178
cds1442	25	137	55	34	27	49
cds1443	629	337	96	98	741	981
cds1444	3	9	0	2	0	0
cds1445	4	12	3	6	0	0
cds1446	3	56	7	3	19	16
cds1447	28	44	30	9	28	21
cds1448	52	72	31	9	59	50
cds1449	10	31	17	11	17	38
cds145	27	70	65	29	26	63
cds1450	12	57	9	9	23	15
cds1451	3	17	6	1	0	7
cds1452	1	18	13	2	7	6
cds1453	62	221	131	68	59	142
cds1454	9	71	15	7	12	25
cds1455	25	69	64	31	37	48
cds1456	70	64	50	35	73	127
cds1457	84	172	22	18	87	169
cds1458	60	103	22	30	64	48
cds1459	26	42	33	15	22	35
cds146	5	5	29	5	10	21
cds1460	33	14	7	4	21	18
cds1461	56	63	9	23	72	97
cds1462	12	0	0	4	51	15
cds1463	32	75	44	47	37	29
cds1464	5	13	16	9	4	11
cds1465	8	6	13	2	0	2
cds1466	218	181	129	61	250	282
cds1467	2	0	0	0	0	0
cds1468	386	213	153	90	254	306
cds1469	90	122	55	41	145	151
cds147	96	241	155	61	112	119
cds1470	321	291	110	71	277	293
cds1471	18	31	56	18	16	16
cds1472	79	16	10	4	64	50
cds1473	8	5	0	5	5	13
cds1474	159	200	86	51	202	261
cds1475	29	194	161	68	18	22
cds1476	383	583	605	340	220	307
cds1477	298	745	171	140	381	246
cds1478	67	202	105	44	45	21
cds1479	3956	3416	1051	565	7694	5190
cds148	197	492	472	274	168	287
cds1480	126	120	77	43	314	318
cds1481	6	16	10	10	3	3
cds1482	65	438	477	212	48	83
cds1483	217	1136	848	505	129	163
cds1484	61	298	184	118	38	83
cds1485	29	184	213	99	32	27
cds1486	53	352	379	172	89	130
cds1487	116	362	323	212	184	211
cds1488	57	48	29	14	39	39
cds1489	453	120	84	34	542	553
cds149	1485	1102	566	409	1583	1446
cds1490	325	656	459	163	293	377
cds1491	17	50	42	24	34	44
cds1492	777	2142	1523	770	757	763
cds1493	84	199	174	146	142	179
cds1494	111	1241	1547	1088	122	273
cds1495	136	1944	2129	1425	126	165
cds1496	47	10	8	13	38	15
cds1497	41	42	20	8	30	35
cds1498	37	123	113	84	86	62
cds1499	41	85	89	31	26	18
cds15	175	117	169	102	115	155
cds150	139	184	83	72	147	90
cds1500	11	26	36	18	14	36
cds1501	35	161	163	98	42	41
cds1502	63	43	48	26	14	36
cds1503	55	44	62	12	70	64
cds1504	34	56	31	16	26	37
cds1505	18	41	4	4	7	37
cds1506	20	24	10	12	14	11
cds1507	123	766	519	236	63	71
cds1508	262	419	465	160	267	304
cds1509	22	141	135	37	7	49
cds151	72	37	42	14	74	71
cds1510	78	205	192	181	47	72
cds1511	17	6	4	0	7	17
cds1512	6	38	26	22	21	18
cds1513	100	198	151	90	71	42
cds1514	38	63	92	28	40	26
cds1515	391	869	1036	908	173	286
cds1516	9	90	100	63	8	9
cds1517	64	327	315	173	48	53
cds1518	239	442	360	163	169	172
cds1519	53	79	35	18	19	116
cds152	95	154	146	79	47	54
cds1520	4	33	22	5	4	23
cds1521	90	147	91	69	67	105
cds1522	67	114	98	58	74	84
cds1523	67	240	199	97	37	42
cds1524	8464	10600	13639	9230	12511	10254
cds1525	33	214	146	78	34	50
cds1526	13	49	18	11	5	14
cds1527	34	620	474	217	18	34
cds1528	27	479	411	215	23	48
cds1529	143	1380	1192	616	273	358
cds153	30	24	22	28	53	23
cds1530	19	318	318	173	9	28
cds1531	60	844	1034	928	114	140
cds1532	75	87	33	40	59	122
cds1533	47	118	38	45	18	21
cds1534	5043	5897	5636	2432	10230	8071
cds1535	397	573	583	461	284	448
cds1536	64	130	100	50	44	23
cds1537	173	565	400	228	120	261
cds1538	37	211	138	76	37	74
cds1539	157	2297	3001	1628	146	148
cds154	23	14	9	15	16	7
cds1540	8	13	13	14	12	16
cds1541	96	116	31	10	114	151
cds1542	11	25	51	36	35	19
cds1543	189	307	162	102	146	178
cds1544	160	250	124	92	159	161
cds1545	9	4	2	2	2	4
cds1546	12	65	128	92	4	4
cds1547	31	158	285	84	17	33
cds1548	131	536	685	259	154	195
cds1549	56	107	48	15	72	58
cds155	26	150	130	48	19	19
cds1550	119	230	80	65	112	183
cds1551	67	313	294	175	55	27
cds1552	47	111	85	54	53	105
cds1553	142	691	540	243	120	183
cds1554	6	56	55	11	8	12
cds1555	77	201	182	55	106	68
cds1556	40	315	191	115	69	100
cds1557	6	32	7	27	1	8
cds1558	4	1	17	13	3	1
cds1559	12	97	65	137	37	34
cds156	76	532	400	225	47	60
cds1560	14	128	173	83	30	23
cds1561	47	39	17	26	66	26
cds1562	109	104	90	37	127	105
cds1563	21	18	9	8	20	13
cds1564	46	26	15	6	43	41
cds1565	142	94	60	55	127	125
cds1566	123	708	574	400	167	179
cds1567	36	102	50	18	19	23
cds1568	85	198	209	106	142	104
cds1569	6	43	35	11	1	7
cds157	30	305	239	64	19	44
cds1570	133	916	1064	619	109	170
cds1571	155	471	575	489	254	274
cds1572	2533	928	775	413	1301	770
cds1573	724	120	183	124	665	723
cds1574	6	24	3	9	3	42
cds1575	7	22	7	1	2	7
cds1576	20	17	2	7	19	18
cds1577	138	355	623	267	123	132
cds1578	42	59	57	28	37	95
cds1579	29	84	65	44	22	27
cds158	84	320	272	130	61	98
cds1580	87	240	149	116	49	77
cds1581	467	3710	4615	2613	372	563
cds1582	30	23	8	22	34	56
cds1583	34	61	48	10	18	26
cds1584	20	88	36	30	47	69
cds1585	87	20	20	8	101	54
cds1586	70	285	227	167	56	95
cds1587	45	303	167	112	87	65
cds1588	159	82	47	35	59	123
cds1589	396	303	190	124	288	517
cds159	604	676	492	256	359	579
cds1590	43	118	143	57	65	106
cds1591	25	102	107	32	20	11
cds1592	126	187	161	57	114	119
cds1593	466	3178	2708	1303	332	588
cds1594	22	37	35	15	16	19
cds1595	13	15	3	5	21	20
cds1596	34	84	45	17	53	23
cds1597	46	32	15	7	25	13
cds1598	190	1675	1867	998	154	235
cds1599	538	1119	943	544	320	426
cds16	304	484	337	109	187	322
cds160	20	44	15	16	10	17
cds1600	48	41	29	28	30	54
cds1601	59	27	56	32	73	54
cds1602	841	735	763	346	818	973
cds1603	1185	867	711	357	871	994
cds1604	16	68	71	53	13	28
cds1605	3	54	111	67	4	8
cds1606	63	561	683	256	56	46
cds1607	31	200	216	99	42	55
cds1608	3	19	34	17	0	14
cds1609	241	411	287	174	139	269
cds161	84	764	718	342	102	103
cds1610	34	15	12	6	14	40
cds1611	11	8	0	2	0	9
cds1612	27	21	11	14	32	56
cds1613	1	8	25	17	0	16
cds1614	88	399	262	187	22	79
cds1615	18	102	57	31	6	4
cds1616	0	27	6	4	0	0
cds1617	15	195	82	44	30	22
cds1618	116	418	386	163	53	74
cds1619	95	224	221	97	100	80
cds162	64	1270	1269	798	44	97
cds1620	29	131	68	77	37	45
cds1621	234	6678	7912	4623	206	478
cds1622	0	3	0	0	0	0
cds1623	597	719	260	159	533	598
cds1624	466	455	225	165	331	444
cds1625	108	115	54	42	143	158
cds1626	561	373	223	167	881	677
cds1627	61	1139	809	411	42	84
cds1628	236	2259	2391	1162	244	350
cds1629	40	1458	708	313	31	51
cds163	53	900	1157	640	37	66
cds1630	36	37	27	38	42	29
cds1631	92	66	49	25	45	98
cds1632	164	171	89	47	150	123
cds1633	18	25	19	5	50	59
cds1634	78	258	268	236	107	95
cds1635	139	374	419	253	101	106
cds1636	21	129	81	39	53	46
cds1637	0	23	42	12	0	8
cds1638	36	171	152	87	27	26
cds1639	181	31	23	8	132	202
cds164	54	240	204	184	100	79
cds1640	33	192	103	90	35	33
cds1641	71	251	254	118	46	87
cds1642	38	162	154	114	33	54
cds1643	14	39	66	46	2	0
cds1644	3	46	40	37	3	2
cds1645	10	171	203	99	22	41
