	S763_vitro_1	S763_vitro_2	S763_col_1	S763_col_2	S763_vitro_3	S763_col_3
cds1419	74	126	16	42	162	33
cds142	982	1235	269	342	2871	551
cds1420	136	183	19	37	306	75
cds1421	3	12	0	6	34	11
cds1422	25	19	17	4	80	8
cds1423	37	0	0	0	32	19
cds1424	132	81	44	15	137	7
cds1425	32	39	15	32	56	20
cds1426	20	105	13	10	121	43
cds1427	182	177	45	101	406	165
cds1428	34	28	19	38	139	84
cds1429	510	377	23	32	1469	114
cds143	79	50	29	6	148	32
cds1430	261	221	103	63	467	13
cds1431	54	69	13	18	195	38
cds1432	331	242	22	74	787	88
cds1433	1423	623	153	113	1897	303
cds1434	1823	1053	172	278	2274	317
cds1435	172	193	17	61	537	51
cds1436	70	81	7	4	204	14
cds1437	54	78	1	22	193	4
cds1438	150	146	60	77	280	80
cds1439	61	93	18	6	229	17
cds144	739	727	48	85	1615	162
cds1440	151	108	15	60	404	109
cds1441	179	335	109	156	851	198
cds1442	123	209	34	50	561	97
cds1443	52	76	0	13	252	126
cds1444	53	68	19	58	208	22
cds1445	60	85	5	49	217	101
cds1446	74	111	62	39	164	19
cds1447	263	443	176	245	1578	137
cds1448	148	222	84	172	552	158
cds1449	119	144	46	21	266	79
cds145	26	19	0	26	64	3
cds1450	28	15	0	0	46	16
cds1451	657	491	320	266	1093	405
cds1452	56	94	14	15	145	37
cds1453	1309	1573	175	248	3088	533
cds1454	5	11	0	0	11	41
cds1455	18	70	6	3	101	15
cds1456	206	310	44	138	406	253
cds1457	1753	1744	1004	1346	2290	999
cds1458	282	374	1852	2889	613	4594
cds1459	139	238	25	47	514	49
cds146	95	44	56	83	236	85
cds1460	87	133	9	0	213	6
cds1461	96	138	36	15	262	22
cds1462	19	19	18	0	20	9
cds1463	8	5	6	9	34	10
cds1464	63	31	0	37	157	45
cds1465	219	255	168	196	812	278
cds1466	160	258	32	37	566	46
cds1467	132	101	29	15	267	77
cds1468	22	43	16	0	45	17
cds1469	12	31	4	11	26	0
cds147	22	8	8	36	57	45
cds1470	4	2	0	0	0	15
cds1471	11	8	0	0	39	6
cds1472	25	45	2	6	73	19
cds1473	71	63	23	0	207	50
cds1474	353	349	108	122	1043	119
cds1475	4145	15474	604	863	7789	1037
cds1476	314	1289	3	33	902	32
cds1477	163	545	0	13	394	28
cds1478	848	3007	112	176	2564	149
cds1479	37	43	8	29	159	16
cds148	47	62	18	10	118	17
cds1480	25	33	7	16	71	19
cds1481	0	6	5	27	27	7
cds1482	26	22	0	1	30	0
cds1483	21	30	15	2	87	5
cds1484	26	73	0	13	83	10
cds1485	18	17	0	0	28	10
cds1486	16	17	5	19	38	7
cds1487	208	318	53	47	714	82
cds1488	325	509	127	86	1055	168
cds1489	184	291	26	9	425	44
cds149	164	86	24	18	234	25
cds1490	2	8	19	6	13	0
cds1491	144	162	244	422	283	712
cds1492	35	65	26	0	66	37
cds1493	1372	1186	196	225	2805	306
cds1494	7	3	0	0	5	0
cds1495	7	7	0	0	5	0
cds1496	0	0	7	17	7	30
cds1497	33	21	3	29	101	48
cds1498	2	2	12	0	8	24
cds1499	10	12	0	2	5	2
cds15	2	7	5	0	34	15
cds150	2	4	0	0	32	0
cds1500	1311	6200	462	792	5897	861
cds1501	70	107	15	27	275	43
cds1502	35	17	10	8	99	4
cds1503	52	25	14	6	133	16
cds1504	10	25	0	5	27	11
cds1505	4700	3637	211	322	6009	428
cds1506	967	1059	68	161	2108	175
cds1507	104	89	0	6	314	11
cds1508	105	101	0	23	268	12
cds1509	1606	2142	162	143	2903	291
cds151	813	2602	521	971	1874	881
cds1510	55	76	2	11	241	9
cds1511	1027	1190	101	70	1389	138
cds1512	819	885	261	425	1667	160
cds1513	76	117	16	30	287	25
cds1514	269	344	116	97	1267	154
cds1515	2134	2039	598	596	3239	414
cds1516	1175	759	53	131	1851	143
cds1517	35	29	0	8	110	9
cds1518	701	690	97	114	1472	146
cds1519	359	325	29	67	574	43
cds152	98	161	7	23	218	247
cds1520	1499	1422	80	102	3553	176
cds1521	1100	1239	173	237	1987	367
cds1522	162	219	7	24	373	25
cds1523	14	4	6	0	39	0
cds1524	83	74	16	3	186	7
cds1525	137	101	8	9	261	17
cds1526	0	4	10	10	0	7
cds1527	217	177	31	105	517	115
cds1528	42	11	23	9	60	67
cds1529	36	60	0	7	73	85
cds153	50	60	0	0	105	9
cds1530	7	13	8	2	31	3
cds1531	114	88	4	30	69	41
cds1532	1622	1606	216	263	2597	306
cds1533	9	65	36	10	85	18
cds1534	0	0	0	0	0	0
cds1535	181	216	15	47	449	130
cds1536	5	0	0	0	0	0
cds1537	2	0	11	6	2	8
cds1538	0	0	0	0	0	0
cds1539	16	38	5	3	10	9
cds154	331	400	20	29	1021	45
cds1540	0	4	0	4	3	7
cds1541	0	2	0	6	0	0
cds1542	2	0	0	0	11	8
cds1543	8	4	16	0	8	38
cds1544	135	138	15	32	253	54
cds1545	168	207	29	70	190	70
cds1546	0	0	0	0	0	0
cds1547	1	3	0	4	0	4
cds1548	1	0	0	0	1	0
cds1549	0	0	0	0	0	0
cds155	526	575	58	43	1987	50
cds1550	1	0	0	0	3	0
cds1551	9	1	0	0	0	0
cds1552	0	0	0	0	0	0
cds1553	200	223	11	31	501	88
cds1554	227	286	62	43	853	68
cds1555	93	110	0	0	261	12
cds1556	284	292	91	40	777	67
cds1557	465	396	46	50	663	56
cds1558	37	6	36	43	62	84
cds1559	101	136	18	51	206	65
cds156	61	39	27	23	151	59
cds1560	992	1056	142	233	1616	344
cds1561	47	32	19	43	75	10
cds1562	20	46	0	5	38	0
cds1563	0	2	0	0	8	0
cds1564	5	0	0	11	5	0
cds1565	82	105	52	39	147	17
cds1566	59	128	15	43	167	13
cds1567	26	29	9	15	59	9
cds1568	11	38	0	12	71	0
cds1569	12	30	5	4	55	7
cds157	55	51	0	5	103	53
cds1570	50	69	0	14	127	14
cds1571	52	16	14	10	40	1
cds1572	31	59	24	11	89	21
cds1573	39	52	0	0	79	13
cds1574	0	0	0	0	8	3
cds1575	3	2	0	2	7	0
cds1576	0	0	0	11	16	20
cds1577	2	16	0	0	39	6
cds1578	80	83	20	31	208	20
cds1579	165	246	47	36	311	39
cds158	123	116	72	92	266	116
cds1580	46	38	0	0	85	34
cds1581	41	77	4	18	159	42
cds1582	5	17	0	0	27	11
cds1583	67	96	3	29	153	26
cds1584	22	109	26	40	108	58
cds1585	11	18	0	9	80	44
cds1586	18	35	0	27	41	25
cds1587	153	123	46	26	216	44
cds1588	246	273	65	76	360	78
cds1589	0	1	0	0	5	0
cds159	18	16	13	0	41	0
cds1590	1	13	13	12	26	22
cds1591	5	22	9	0	22	8
cds1592	10	0	0	0	9	1
cds1593	3	2	9	0	8	0
cds1594	5	0	0	0	0	0
cds1595	12	4	15	3	11	0
cds1596	10	19	0	19	21	0
cds1597	10	27	0	0	18	8
cds1598	3	12	12	0	15	0
cds1599	22	16	0	6	11	6
cds16	35	80	9	26	159	47
cds160	4	33	11	15	68	5
cds1600	3	2	0	9	10	0
cds1601	2	0	0	0	1	8
cds1602	20	22	0	0	41	15
cds1603	18	19	12	9	33	4
cds1604	4	14	0	23	32	3
cds1605	22	8	0	27	18	24
cds1606	0	4	0	0	1	0
cds1607	5	8	0	21	14	7
cds1608	48	25	61	68	71	78
cds1609	41	52	1	13	145	0
cds161	31	64	40	29	75	55
cds1610	57	26	12	18	86	36
cds1611	45	69	0	0	160	24
cds1612	19	39	21	9	35	48
cds1613	101	150	35	38	444	61
cds1614	62	21	26	7	141	29
cds1615	37	26	16	0	62	5
cds1616	30	88	8	5	184	28
cds1617	225	372	67	62	600	117
cds1618	97	120	0	33	320	18
cds1619	110	182	18	17	393	36
cds162	4	14	0	7	99	38
cds1620	382	465	28	6	1225	29
cds1621	156	168	54	72	431	265
cds1622	0	12	0	0	14	0
cds1623	35	69	94	80	77	70
cds1624	107	137	205	181	201	117
cds1625	0	0	0	0	3	15
cds1626	38	38	11	0	142	34
cds1627	8045	7283	683	1134	14239	956
cds1628	95	102	7	0	215	71
cds1629	340	380	123	179	906	277
cds163	7	0	0	14	10	6
cds1630	35	39	5	14	127	23
cds1631	135	195	45	21	287	99
cds1632	107	75	28	58	228	92
cds1633	73	70	7	30	127	15
cds1634	6	7	0	0	18	3
cds1635	12	3	0	22	4	13
cds1636	19	11	0	0	25	7
cds1637	23	29	17	22	39	13
cds1638	95	80	8	23	140	37
cds1639	12	25	16	0	29	33
cds164	1	5	16	5	2	1
cds1640	40	16	87	164	37	118
cds1641	8	9	13	0	15	3
cds1642	23	5	0	4	26	14
cds1643	11	20	27	4	20	14
cds1644	58	163	47	73	301	101
cds1645	48	47	5	15	83	10
cds1646	447	369	78	40	1010	94
cds1647	18	6	28	10	57	35
cds1648	1	17	2	0	7	0
cds1649	8	11	34	57	31	203
cds165	6	26	0	0	27	27
cds1650	26	19	0	4	46	19
cds1651	228	238	36	46	871	135
cds1652	155	112	52	8	437	53
cds1653	99	228	2	34	512	64
cds1654	210	208	65	48	742	108
cds1655	82	190	9	39	334	15
cds1656	738	944	26	78	2216	139
cds1657	798	773	275	343	1647	364
cds1658	31	68	2	14	146	11
cds1659	77	109	5	20	290	22
cds166	6	28	13	0	36	57
cds1660	169	206	13	34	351	42
cds1661	85	47	6	21	194	25
cds1662	494	543	163	263	1285	242
cds1663	58	48	10	3	165	25
cds1664	180	208	16	16	372	48
cds1665	342	273	3	7	541	36
cds1666	2377	2629	120	132	3934	169
cds1667	942	1033	95	40	1855	74
cds1668	1011	1240	227	225	2457	225
cds1669	4010	5002	314	238	7146	311
cds167	12	15	10	3	30	7
cds1670	8069	9329	556	532	16621	905
cds1671	3260	3165	208	250	6728	249
cds1672	5345	6537	375	522	10314	775
cds1673	64	81	0	2	147	15
cds1674	13	75	0	0	160	20
cds1675	27	35	13	0	117	21
cds1676	44	43	15	2	177	13
cds1677	211	300	83	127	711	127
cds1678	45	49	2	0	36	14
cds1679	202	346	27	18	639	14
cds168	4	5	0	5	4	9
cds1680	2	6	0	0	33	6
cds1681	326	286	206	225	800	219
cds1682	58	70	5	6	177	31
cds1683	729	470	266	246	1508	347
cds1684	59	88	30	48	185	86
cds1685	67	89	22	54	129	19
cds1686	47	66	3	2	117	30
cds1687	4	0	3	17	30	15
cds1688	7	12	0	4	12	12
cds1689	324	521	55	128	587	144
cds169	25	30	0	0	92	2
cds1690	87	101	21	2	303	51
cds1691	301	447	26	59	745	144
cds1692	104	145	22	18	224	82
cds1693	422	406	81	144	731	175
cds1694	21	31	0	0	71	12
cds1695	39	74	20	21	124	36
cds1696	148	68	16	28	339	43
cds1697	109	67	16	24	370	38
cds1698	148	139	5	51	362	82
cds1699	42	67	15	11	103	28
cds17	61	39	54	25	80	141
cds170	162	154	16	11	354	23
cds1700	196	173	20	43	413	52
cds1701	48	89	0	18	208	3
cds1702	77	191	0	0	422	11
cds1703	237	230	45	72	475	96
cds1704	17	46	0	0	68	3
cds1705	2	4	0	0	24	0
cds1706	15	11	16	8	33	48
cds1707	67	129	0	84	140	119
cds1708	110	129	34	109	242	61
cds1709	20	50	31	0	101	19
cds171	18	11	0	5	32	0
cds1710	83	101	0	0	192	8
cds1711	339	1990	38	21	1016	82
cds1712	128	274	29	41	261	55
