	L187_col_1	L187_col_2	L187_vitro_1	L187_vitro_2	L187_vitro_3	L187_col_3
cds1571	2	0	0	1	5	0
cds1572	5	9	58	21	101	8
cds1573	15	18	67	34	158	10
cds1574	0	0	9	0	7	0
cds1575	0	0	15	14	29	0
cds1576	4	5	9	7	19	10
cds1577	0	45	8	5	21	21
cds1578	1	6	21	12	44	8
cds1579	3	3	4	3	14	0
cds158	0	0	9	10	46	0
cds1580	0	4	0	1	4	23
cds1581	1	15	178	139	555	20
cds1582	0	3	11	11	29	11
cds1583	0	0	5	2	21	0
cds1584	0	9	23	16	29	0
cds1585	25	71	98	36	171	108
cds1586	1	0	7	10	19	1
cds1587	1	3	4	5	19	1
cds1588	2	10	53	10	53	5
cds1589	4	2	5	2	9	4
cds159	4	46	220	257	787	14
cds1590	1	0	14	3	16	0
cds1591	14	33	64	38	150	42
cds1592	0	0	2	4	20	0
cds1593	1	5	1	3	13	11
cds1594	0	2	3	2	7	1
cds1595	0	23	40	25	106	23
cds1596	0	0	18	11	79	1
cds1597	0	6	29	9	35	0
cds1598	0	4	75	41	167	6
cds1599	1	9	70	28	157	6
cds16	0	0	0	0	2	0
cds160	4	20	394	286	1184	56
cds1600	1	0	13	3	12	0
cds1601	0	6	23	3	33	0
cds1602	3	5	16	4	17	0
cds1603	0	20	1	2	7	9
cds1604	0	0	3	4	11	3
cds1605	9	36	33	16	55	4
cds1606	0	3	3	1	5	21
cds1607	2	5	5	3	15	17
cds1608	2	8	10	6	18	10
cds1609	7	43	157	37	223	22
cds161	7	3	21	14	95	12
cds1610	0	7	17	3	40	0
cds1611	0	0	15	4	18	3
cds1612	29	196	28	16	75	74
cds1613	6	19	97	55	144	19
cds1614	7	30	43	21	72	28
cds1615	1	3	7	1	21	8
cds1616	1	2	23	15	60	37
cds1617	6	21	38	53	171	5
cds1618	8	5	21	13	37	7
cds1619	6	0	24	9	35	10
cds162	0	8	20	13	62	10
cds1620	0	2	4	4	7	8
cds1621	1	13	153	132	479	2
cds1622	0	14	12	4	32	12
cds1623	7	16	68	8	38	23
cds1624	12	55	222	21	99	37
cds1625	25	140	228	52	266	65
cds1626	2	37	31	5	26	26
cds1627	0	19	29	34	127	10
cds1628	1	11	6	5	31	0
cds1629	12	40	36	14	48	114
cds163	3	0	32	12	84	11
cds1630	6	39	101	16	89	5
cds1631	2	5	18	1	12	0
cds1632	6	18	25	9	29	19
cds1633	6	13	66	11	47	8
cds1634	0	19	14	2	15	0
cds1635	0	5	2	0	6	0
cds1636	1	0	0	2	8	0
cds1637	0	0	1	2	6	0
cds1638	3	0	6	0	21	0
cds1639	25	173	440	146	583	78
cds164	3	8	19	20	88	20
cds1640	78	351	1385	375	1564	176
cds1641	36	123	385	226	1175	144
cds1642	5	12	230	125	623	5
cds1643	4	13	290	183	636	32
cds1644	0	2	42	18	98	17
cds1645	0	0	10	4	14	0
cds1646	7	29	93	28	179	38
cds1647	0	0	0	1	5	0
cds1648	2	29	0	0	8	18
cds1649	1	1	11	3	3	9
cds165	6	31	187	159	519	49
cds1650	3	21	83	10	26	8
cds1651	2	27	1	1	5	0
cds1652	1	0	0	0	1	2
cds1653	5	49	3	1	7	26
cds1654	17	35	56	35	119	26
cds1655	0	1	3	1	5	0
cds1656	1	2	14	3	25	8
cds1657	7	67	57	10	79	24
cds1658	2	7	57	43	129	2
cds1659	5	11	18	34	80	6
cds166	5	17	115	71	374	0
cds1660	6	67	47	11	55	14
cds1661	2	16	12	14	18	58
cds1662	0	0	35	15	64	0
cds1663	0	0	20	1	27	0
cds1664	1	0	18	2	38	0
cds1665	0	0	24	8	43	0
cds1666	1	15	22	5	18	0
cds1667	2	7	18	8	56	26
cds1668	15	37	97	39	199	33
cds1669	1	2	14	19	82	0
cds167	2	13	88	45	188	16
cds1670	0	0	5	1	15	0
cds1671	5	13	68	49	126	22
cds1672	3	24	36	24	112	40
cds1673	6	11	54	64	205	24
cds1674	0	4	34	26	91	8
cds1675	7	35	25	14	54	11
cds1676	9	53	25	5	22	29
cds1677	7	5	90	68	242	10
cds1678	1	0	1	2	14	0
cds1679	1	22	33	36	108	14
cds168	8	26	40	21	86	6
cds1680	23	136	534	361	1639	98
cds1681	0	32	20	11	49	37
cds1682	0	0	2	3	10	0
cds1683	0	6	20	12	37	5
cds1684	11	40	60	26	142	28
cds1685	5	25	11	1	31	31
cds1686	0	0	0	0	0	0
cds1687	1	0	10	10	33	11
cds1688	154	732	907	569	1985	597
cds1689	12	55	228	115	487	47
cds169	50	192	673	263	1378	142
cds1690	0	9	40	20	82	14
cds1691	3	9	29	6	41	4
cds1692	8	11	28	12	53	17
cds1693	2	0	18	16	29	17
cds1694	0	0	2	6	13	4
cds1695	0	13	29	16	81	6
cds1696	2	14	30	8	64	20
cds1697	0	0	5	2	19	7
cds1698	36	178	63	23	73	105
cds1699	0	0	0	0	2	0
cds17	0	3	2	0	3	0
cds170	15	140	118	88	349	53
cds1700	0	0	7	6	16	8
cds1701	3	17	57	41	153	4
cds1702	0	9	26	12	79	9
cds1703	4	14	53	16	75	0
cds1704	5	11	70	36	128	35
cds1705	114	391	635	348	1521	294
cds1706	6	47	57	15	62	27
cds1707	0	4	6	0	14	0
cds1708	1	9	0	1	6	0
cds1709	0	0	12	4	21	10
cds171	0	0	0	5	23	0
cds1710	6	0	81	18	109	0
cds1711	0	5	85	17	66	0
cds1712	2	6	31	7	36	0
cds1713	0	0	19	5	31	0
cds1714	0	0	29	11	54	0
cds1715	0	0	13	7	20	0
cds1716	0	0	8	1	17	0
cds1717	2	0	6	5	22	0
cds1718	3	0	38	10	55	0
cds1719	0	0	9	7	18	0
cds172	0	0	1	2	13	0
cds1720	0	0	14	4	27	0
cds1721	0	0	166	45	237	0
cds1722	0	0	54	22	72	0
cds1723	0	4	185	53	271	0
cds1724	0	0	36	5	43	0
cds1725	1	0	20	12	34	0
cds1726	12	25	479	191	677	0
cds1727	0	0	24	8	17	0
cds1728	0	0	165	29	138	0
